distance_cm,time_s,accel,speed
1,0.158,4,100
2,0.241,4,100
3,0.304,4,100
4,0.358,4,100
5,0.406,4,100
7,0.489,4,100
9,0.56,4,100
11,0.624,4,100
15,0.737,4,100
20,0.86,4,100
35.4,1.162,4,100
40,1.24,4,100
50,1.394,4,100
70.7,1.672,4,100
100,2.003,4,100
150,2.48,4,100
200,2.933,4,100
1,0.211,3.0,100
2,0.321,3.0,100
3,0.405,3.0,100
4,0.477,3.0,100
5,0.54,3.0,100
7,0.65,3.0,100
9,0.745,3.0,100
11,0.83,3.0,100
15,0.981,3.0,100
20,1.143,3.0,100
35.4,1.545,3.0,100
40,1.646,3.0,100
50,1.851,3.0,100
70.7,2.217,3.0,100
100,2.656,3.0,100
150,3.28,3.0,100
200,3.813,3.0,100
1,0.205,3.1,100
2,0.311,3.1,100
3,0.393,3.1,100
4,0.461,3.1,100
5,0.523,3.1,100
7,0.629,3.1,100
9,0.721,3.1,100
11,0.804,3.1,100
15,0.95,3.1,100
20,1.106,3.1,100
35.4,1.494,3.1,100
40,1.594,3.1,100
50,1.792,3.1,100
70.7,2.147,3.1,100
100,2.574,3.1,100
150,3.177,3.1,100
200,3.692,3.1,100
1,0.199,3.2,100
2,0.301,3.2,100
3,0.38,3.2,100
4,0.447,3.2,100
5,0.506,3.2,100
7,0.61,3.2,100
9,0.699,3.2,100
11,0.779,3.2,100
15,0.92,3.2,100
20,1.072,3.2,100
35.4,1.45,3.2,100
40,1.545,3.2,100
50,1.737,3.2,100
70.7,2.082,3.2,100
100,2.493,3.2,100
150,3.08,3.2,100
200,3.577,3.2,100
1,0.193,3.3,100
2,0.292,3.3,100
3,0.369,3.3,100
4,0.434,3.3,100
5,0.491,3.3,100
7,0.591,3.3,100
9,0.678,3.3,100
11,0.756,3.3,100
15,0.892,3.3,100
20,1.04,3.3,100
35.4,1.406,3.3,100
40,1.499,3.3,100
50,1.685,3.3,100
70.7,2.019,3.3,100
100,2.42,3.3,100
150,2.991,3.3,100
200,3.473,3.3,100
1,0.187,3.4,100
2,0.284,3.4,100
3,0.358,3.4,100
4,0.421,3.4,100
5,0.477,3.4,100
7,0.574,3.4,100
9,0.659,3.4,100
11,0.734,3.4,100
15,0.866,3.4,100
20,1.009,3.4,100
35.4,1.365,3.4,100
40,1.456,3.4,100
50,1.636,3.4,100
70.7,1.961,3.4,100
100,2.351,3.4,100
150,2.904,3.4,100
200,3.374,3.4,100
1,0.181,3.5,100
2,0.276,3.5,100
3,0.348,3.5,100
4,0.409,3.5,100
5,0.463,3.5,100
7,0.558,3.5,100
9,0.64,3.5,100
11,0.713,3.5,100
15,0.842,3.5,100
20,0.982,3.5,100
35.4,1.326,3.5,100
40,1.414,3.5,100
50,1.59,3.5,100
70.7,1.907,3.5,100
100,2.284,3.5,100
150,2.824,3.5,100
200,3.281,3.5,100
1,0.177,3.6,100
2,0.268,3.6,100
3,0.338,3.6,100
4,0.398,3.6,100
5,0.45,3.6,100
7,0.542,3.6,100
9,0.622,3.6,100
11,0.693,3.6,100
15,0.8190001,3.6,100
20,0.955,3.6,100
35.4,1.289,3.6,100
40,1.376,3.6,100
50,1.547,3.6,100
70.7,1.853,3.6,100
100,2.222,3.6,100
150,2.744,3.6,100
200,3.196,3.6,100
1,0.171,3.7,100
2,0.26,3.7,100
3,0.328,3.7,100
4,0.387,3.7,100
